nombre,estatus,fecha,hora
Alberto Laureano Guevara,Pendiente,2025-05-28,05:36
Zoé Trejo Brito,Pendiente,2025-06-15,22:10
Alta  Gracia Cabán Gamez,Albergado,2025-05-29,16:10
Sr(a). Ramiro Farías,Albergado,2025-06-13,05:19
Marisol Rolando Ledesma,Albergado,2025-05-18,06:13
Luisa Jacinto Ledesma,Albergado,2025-05-25,15:39
Benjamín Aurelio Olivares Calderón,Albergado,2025-06-04,01:34
Mtro. Alvaro Rico,Pendiente,2025-06-13,13:42
Arcelia Urías,En tránsito,2025-06-01,22:14
Mtro. Reynaldo Espinosa,En tránsito,2025-05-21,23:18
Gregorio Arcelia Gonzales,Pendiente,2025-05-22,02:07
María Elena Teresa Nava Curiel,En tránsito,2025-06-04,07:13
Yuridia Gabriela Becerra,Albergado,2025-06-16,11:18
Oswaldo Felipe Dávila,Pendiente,2025-06-09,09:59
Timoteo Porfirio Gaona Meléndez,Albergado,2025-05-20,00:29
Ignacio Pacheco Jasso,Dado de alta,2025-05-21,00:09
Mtro. Eric Sanabria,En tránsito,2025-06-06,04:04
Claudio Jaimes,Pendiente,2025-05-24,23:02
Ing. Frida Viera,Albergado,2025-06-07,18:56
Jos Gaona,Albergado,2025-05-24,08:16
Aurora Arreola,Pendiente,2025-05-23,21:23
Luisa Rubén Barela,Albergado,2025-06-05,04:46
Lic. Óliver Heredia,Albergado,2025-06-13,08:41
Omar Jaramillo Molina,Albergado,2025-05-23,23:38
Cristina Rendón,Pendiente,2025-05-18,16:41
Mónica Diego Sarabia Caraballo,Dado de alta,2025-06-01,04:13
Ing. Elvia Corral,Pendiente,2025-06-05,07:24
Paola Olga Abrego,Pendiente,2025-06-16,22:37
Aida Carrasco,Pendiente,2025-06-04,11:55
Evelio Ana Luisa Guajardo Valverde,En tránsito,2025-05-21,22:16
Ángela Tejada,En tránsito,2025-05-24,04:29
Paulina de Jesús,Pendiente,2025-05-30,09:40
Lic. Eric Tirado,Pendiente,2025-05-27,10:37
Leonor Yuridia Niño Quezada,Pendiente,2025-06-12,17:58
Fernando Garza Barela,Albergado,2025-06-03,19:25
Ing. Estela Villalobos,Pendiente,2025-05-28,17:30
Susana Bahena Girón,Pendiente,2025-05-21,18:33
Angélica Noelia Granados Leiva,En tránsito,2025-06-10,21:14
Dr. Reina Velázquez,Pendiente,2025-06-09,17:29
Lorenzo Espinal,Dado de alta,2025-05-22,05:28
Joaquín Piña,Albergado,2025-06-06,23:03
Zacarías Calvillo Ballesteros,En tránsito,2025-06-06,20:19
Bianca Felix Espinosa Espinal,Albergado,2025-06-13,08:24
Luisa Dulce Leiva,Pendiente,2025-06-09,23:21
Margarita Urbina Calvillo,Dado de alta,2025-05-20,03:34
Sr(a). Aurelio Granado,Dado de alta,2025-05-26,11:25
Mauricio Gallardo,Dado de alta,2025-06-06,09:22
Juan Abelardo Orellana,Dado de alta,2025-05-30,04:19
Gonzalo Piña,Albergado,2025-06-13,21:36
Cristal Espinal,Pendiente,2025-06-01,23:38
