nombre,estatus,fecha,hora
Ricardo Torres Ballesteros,Albergado,2025-06-02,20:24
Rocío Romero Sandoval,Pendiente,2025-06-12,00:16
Nancy Blanco Escamilla,Pendiente,2025-05-21,16:16
Zeferino Gollum Páez,Pendiente,2025-05-23,08:37
Ricardo Rosario Arenas,En tránsito,2025-05-21,21:24
Ing. Octavio Mata,En tránsito,2025-05-30,21:21
Evelio Gabino Ortiz Ceja,Pendiente,2025-06-01,09:04
Antonia Abril Reynoso Valladares,Dado de alta,2025-05-22,21:43
Dr. Natividad Jaimes,Pendiente,2025-05-24,15:52
Felipe Negrón Linares,Albergado,2025-05-25,03:16
Mtro. Sara Tafoya,En tránsito,2025-05-18,19:55
Mtro. Wilfrido Cano,Pendiente,2025-05-24,08:04
Bernabé Uribe Cortés,Pendiente,2025-05-31,02:09
Dr. Jacobo Figueroa,Pendiente,2025-05-30,00:14
Fidel Ávalos,Albergado,2025-05-22,05:24
Gerónimo Armendáriz,Dado de alta,2025-05-18,14:13
Teodoro Frida Cuellar,Dado de alta,2025-06-08,02:11
Ramiro Aguirre,Pendiente,2025-05-23,04:42
Patricio Alejandro Negrón,En tránsito,2025-06-15,02:03
Luis Manuel Carolina Arguello,En tránsito,2025-06-01,11:05
Jorge Gaitán Haro,Pendiente,2025-05-22,17:31
Lic. Silvano Correa,Pendiente,2025-05-29,00:04
Liliana Alberto Duarte,Dado de alta,2025-06-03,07:43
Yolanda Guzmán,Albergado,2025-05-30,21:12
Juana Arellano Rodrígez,Dado de alta,2025-05-28,09:49
Jerónimo Magaña,En tránsito,2025-05-29,19:04
Victoria Espinoza Ozuna,Dado de alta,2025-06-02,17:11
Germán Montoya Saucedo,Albergado,2025-06-06,12:20
Mtro. Alicia Carrillo,Albergado,2025-05-30,07:51
Mtro. Alfonso Cardona,Dado de alta,2025-06-15,03:22
Humberto Marco Antonio Zelaya Segura,Pendiente,2025-05-23,02:01
Dr. Florencia Armendáriz,En tránsito,2025-06-08,00:53
Ing. Yuridia Estrada,Albergado,2025-06-04,22:55
Wendolin Menéndez Martínez,En tránsito,2025-05-24,14:08
Natividad Horacio Paredes Mena,Albergado,2025-06-06,05:01
Perla Carolina Espinosa Peres,Dado de alta,2025-06-05,19:53
Sergio Rebeca Madera,Dado de alta,2025-06-06,01:16
Hernán Llamas Gaitán,Albergado,2025-06-07,03:23
Ing. Vanesa Medina,Albergado,2025-06-09,15:37
Zeferino Gallardo,Pendiente,2025-06-11,02:33
Victoria Arturo Limón,Albergado,2025-06-12,04:14
Mtro. Aurelio Gollum,Albergado,2025-06-02,11:22
Concepción Alberto Arredondo,Dado de alta,2025-05-29,13:52
Sr(a). María Eugenia Pedroza,Dado de alta,2025-06-14,17:08
Miguel Ángel Pabón,Pendiente,2025-05-29,21:44
Bernabé Pizarro Gaona,Albergado,2025-05-26,06:12
Lic. Amador Valdés,Albergado,2025-05-30,09:13
Cecilia Rivera,En tránsito,2025-06-12,03:55
Mtro. Margarita Santana,Pendiente,2025-06-07,10:21
Cristobal Roldán,En tránsito,2025-06-08,05:46
