nombre,estatus,fecha,hora
Alberto Laureano Guevara,Albergado,2025-05-29,05:36
Zoé Trejo Brito,Dado de alta,2025-06-16,22:10
Alta  Gracia Cabán Gamez,Pendiente,2025-05-30,16:10
Sr(a). Ramiro Farías,En tránsito,2025-06-14,05:19
Marisol Rolando Ledesma,En tránsito,2025-05-19,06:13
Luisa Jacinto Ledesma,Pendiente,2025-05-26,15:39
Benjamín Aurelio Olivares Calderón,Albergado,2025-06-05,01:34
Mtro. Alvaro Rico,Albergado,2025-06-14,13:42
Arcelia Urías,Albergado,2025-06-02,22:14
Mtro. Reynaldo Espinosa,Albergado,2025-05-22,23:18
Gregorio Arcelia Gonzales,Dado de alta,2025-05-23,02:07
María Elena Teresa Nava Curiel,Dado de alta,2025-06-05,07:13
Yuridia Gabriela Becerra,Albergado,2025-06-17,11:18
Oswaldo Felipe Dávila,Albergado,2025-06-10,09:59
Timoteo Porfirio Gaona Meléndez,Albergado,2025-05-21,00:29
Ignacio Pacheco Jasso,Albergado,2025-05-22,00:09
Mtro. Eric Sanabria,Albergado,2025-06-07,04:04
Claudio Jaimes,Pendiente,2025-05-25,23:02
Ing. Frida Viera,En tránsito,2025-06-08,18:56
Jos Gaona,En tránsito,2025-05-25,08:16
Aurora Arreola,En tránsito,2025-05-24,21:23
Luisa Rubén Barela,Dado de alta,2025-06-06,04:46
Lic. Óliver Heredia,Pendiente,2025-06-14,08:41
Omar Jaramillo Molina,En tránsito,2025-05-24,23:38
Cristina Rendón,Pendiente,2025-05-19,16:41
Mónica Diego Sarabia Caraballo,Pendiente,2025-06-02,04:13
Ing. Elvia Corral,Dado de alta,2025-06-06,07:24
Paola Olga Abrego,En tránsito,2025-06-17,22:37
Aida Carrasco,Pendiente,2025-06-05,11:55
Evelio Ana Luisa Guajardo Valverde,Dado de alta,2025-05-22,22:16
Ángela Tejada,En tránsito,2025-05-25,04:29
Paulina de Jesús,Dado de alta,2025-05-31,09:40
Lic. Eric Tirado,En tránsito,2025-05-28,10:37
Leonor Yuridia Niño Quezada,Dado de alta,2025-06-13,17:58
Fernando Garza Barela,En tránsito,2025-06-04,19:25
Ing. Estela Villalobos,Albergado,2025-05-29,17:30
Susana Bahena Girón,Dado de alta,2025-05-22,18:33
Angélica Noelia Granados Leiva,Dado de alta,2025-06-11,21:14
Dr. Reina Velázquez,En tránsito,2025-06-10,17:29
Lorenzo Espinal,Pendiente,2025-05-23,05:28
Joaquín Piña,En tránsito,2025-06-07,23:03
Zacarías Calvillo Ballesteros,Dado de alta,2025-06-07,20:19
Bianca Felix Espinosa Espinal,Albergado,2025-06-14,08:24
Luisa Dulce Leiva,Pendiente,2025-06-10,23:21
Margarita Urbina Calvillo,Albergado,2025-05-21,03:34
Sr(a). Aurelio Granado,Dado de alta,2025-05-27,11:25
Mauricio Gallardo,Dado de alta,2025-06-07,09:22
Juan Abelardo Orellana,Pendiente,2025-05-31,04:19
Gonzalo Piña,En tránsito,2025-06-14,21:36
Cristal Espinal,Pendiente,2025-06-02,23:38
