nombre,estatus,fecha,hora
Alberto Laureano Guevara,Albergado,2025-05-30,05:36
Zoé Trejo Brito,Albergado,2025-06-17,22:10
Alta  Gracia Cabán Gamez,Albergado,2025-05-31,16:10
Sr(a). Ramiro Farías,Albergado,2025-06-15,05:19
Marisol Rolando Ledesma,Albergado,2025-05-20,06:13
Luisa Jacinto Ledesma,Pendiente,2025-05-27,15:39
Benjamín Aurelio Olivares Calderón,Albergado,2025-06-06,01:34
Mtro. Alvaro Rico,Dado de alta,2025-06-15,13:42
Arcelia Urías,Albergado,2025-06-03,22:14
Mtro. Reynaldo Espinosa,Dado de alta,2025-05-23,23:18
Gregorio Arcelia Gonzales,Albergado,2025-05-24,02:07
María Elena Teresa Nava Curiel,Pendiente,2025-06-06,07:13
Yuridia Gabriela Becerra,En tránsito,2025-06-18,11:18
Oswaldo Felipe Dávila,Pendiente,2025-06-11,09:59
Timoteo Porfirio Gaona Meléndez,En tránsito,2025-05-22,00:29
Ignacio Pacheco Jasso,Dado de alta,2025-05-23,00:09
Mtro. Eric Sanabria,Albergado,2025-06-08,04:04
Claudio Jaimes,Pendiente,2025-05-26,23:02
Ing. Frida Viera,Albergado,2025-06-09,18:56
Jos Gaona,Pendiente,2025-05-26,08:16
Aurora Arreola,Albergado,2025-05-25,21:23
Luisa Rubén Barela,Pendiente,2025-06-07,04:46
Lic. Óliver Heredia,En tránsito,2025-06-15,08:41
Omar Jaramillo Molina,Dado de alta,2025-05-25,23:38
Cristina Rendón,En tránsito,2025-05-20,16:41
Mónica Diego Sarabia Caraballo,Albergado,2025-06-03,04:13
Ing. Elvia Corral,Albergado,2025-06-07,07:24
Paola Olga Abrego,Pendiente,2025-06-18,22:37
Aida Carrasco,Dado de alta,2025-06-06,11:55
Evelio Ana Luisa Guajardo Valverde,Dado de alta,2025-05-23,22:16
Ángela Tejada,Albergado,2025-05-26,04:29
Paulina de Jesús,Pendiente,2025-06-01,09:40
Lic. Eric Tirado,Albergado,2025-05-29,10:37
Leonor Yuridia Niño Quezada,En tránsito,2025-06-14,17:58
Fernando Garza Barela,Albergado,2025-06-05,19:25
Ing. Estela Villalobos,Pendiente,2025-05-30,17:30
Susana Bahena Girón,En tránsito,2025-05-23,18:33
Angélica Noelia Granados Leiva,Pendiente,2025-06-12,21:14
Dr. Reina Velázquez,Dado de alta,2025-06-11,17:29
Lorenzo Espinal,En tránsito,2025-05-24,05:28
Joaquín Piña,Dado de alta,2025-06-08,23:03
Zacarías Calvillo Ballesteros,Pendiente,2025-06-08,20:19
Bianca Felix Espinosa Espinal,En tránsito,2025-06-15,08:24
Luisa Dulce Leiva,Pendiente,2025-06-11,23:21
Margarita Urbina Calvillo,Dado de alta,2025-05-22,03:34
Sr(a). Aurelio Granado,Albergado,2025-05-28,11:25
Mauricio Gallardo,Pendiente,2025-06-08,09:22
Juan Abelardo Orellana,En tránsito,2025-06-01,04:19
Gonzalo Piña,Dado de alta,2025-06-15,21:36
Cristal Espinal,Albergado,2025-06-03,23:38
