nombre,estatus,fecha,hora
Ricardo Torres Ballesteros,Albergado,2025-06-04,20:24
Rocío Romero Sandoval,Dado de alta,2025-06-14,00:16
Nancy Blanco Escamilla,Albergado,2025-05-23,16:16
Zeferino Gollum Páez,Dado de alta,2025-05-25,08:37
Ricardo Rosario Arenas,Albergado,2025-05-23,21:24
Ing. Octavio Mata,Albergado,2025-06-01,21:21
Evelio Gabino Ortiz Ceja,Albergado,2025-06-03,09:04
Antonia Abril Reynoso Valladares,En tránsito,2025-05-24,21:43
Dr. Natividad Jaimes,En tránsito,2025-05-26,15:52
Felipe Negrón Linares,Pendiente,2025-05-27,03:16
Mtro. Sara Tafoya,Albergado,2025-05-20,19:55
Mtro. Wilfrido Cano,Pendiente,2025-05-26,08:04
Bernabé Uribe Cortés,Dado de alta,2025-06-02,02:09
Dr. Jacobo Figueroa,Albergado,2025-06-01,00:14
Fidel Ávalos,En tránsito,2025-05-24,05:24
Gerónimo Armendáriz,Albergado,2025-05-20,14:13
Teodoro Frida Cuellar,Pendiente,2025-06-10,02:11
Ramiro Aguirre,Dado de alta,2025-05-25,04:42
Patricio Alejandro Negrón,En tránsito,2025-06-17,02:03
Luis Manuel Carolina Arguello,Pendiente,2025-06-03,11:05
Jorge Gaitán Haro,Albergado,2025-05-24,17:31
Lic. Silvano Correa,En tránsito,2025-05-31,00:04
Liliana Alberto Duarte,Dado de alta,2025-06-05,07:43
Yolanda Guzmán,Albergado,2025-06-01,21:12
Juana Arellano Rodrígez,En tránsito,2025-05-30,09:49
Jerónimo Magaña,Dado de alta,2025-05-31,19:04
Victoria Espinoza Ozuna,Pendiente,2025-06-04,17:11
Germán Montoya Saucedo,Dado de alta,2025-06-08,12:20
Mtro. Alicia Carrillo,Albergado,2025-06-01,07:51
Mtro. Alfonso Cardona,Albergado,2025-06-17,03:22
Humberto Marco Antonio Zelaya Segura,En tránsito,2025-05-25,02:01
Dr. Florencia Armendáriz,Dado de alta,2025-06-10,00:53
Ing. Yuridia Estrada,Pendiente,2025-06-06,22:55
Wendolin Menéndez Martínez,En tránsito,2025-05-26,14:08
Natividad Horacio Paredes Mena,Albergado,2025-06-08,05:01
Perla Carolina Espinosa Peres,Albergado,2025-06-07,19:53
Sergio Rebeca Madera,En tránsito,2025-06-08,01:16
Hernán Llamas Gaitán,En tránsito,2025-06-09,03:23
Ing. Vanesa Medina,Pendiente,2025-06-11,15:37
Zeferino Gallardo,Dado de alta,2025-06-13,02:33
Victoria Arturo Limón,Dado de alta,2025-06-14,04:14
Mtro. Aurelio Gollum,Albergado,2025-06-04,11:22
Concepción Alberto Arredondo,En tránsito,2025-05-31,13:52
Sr(a). María Eugenia Pedroza,Pendiente,2025-06-16,17:08
Miguel Ángel Pabón,Pendiente,2025-05-31,21:44
Bernabé Pizarro Gaona,En tránsito,2025-05-28,06:12
Lic. Amador Valdés,Pendiente,2025-06-01,09:13
Cecilia Rivera,En tránsito,2025-06-14,03:55
Mtro. Margarita Santana,Pendiente,2025-06-09,10:21
Cristobal Roldán,Albergado,2025-06-10,05:46
